byte,nJ,dram_acc
3332096,1808318.311372,1035152.0
3336192,1809006.862427,1034960.0
3340288,1808770.4436110002,1034768.0
3344384,1809519.897239,1034576.0
3348480,1809283.4206309998,1034384.0
3352576,1809969.269257,1034192.0
3356672,1809732.7386969998,1034000.0
3360768,1810430.1046159999,1033808.0
3364864,1810193.518376,1033616.0
3368960,1810881.416439,1033424.0
3373056,1810644.776247,1033232.0
3377152,1811392.513123,1033040.0
3381248,1811155.8153310001,1032848.0
3385344,1811841.011157,1032656.0
3389440,1811604.259413,1032464.0
3393536,1812289.293383,1032272.0
3397632,1812052.487687,1032080.0
3401728,1812737.359801,1031888.0
3405824,1812500.500153,1031696.0
3409920,1813250.963154,1031504.0
3414016,1813014.045714,1031312.0
3418112,1813698.590276,1031120.0
3422208,1813461.618884,1030928.0
3426304,1814146.00159,1030736.0
3430400,1813908.976246,1030544.0
3434496,1814593.197096,1030352.0
3438592,1814356.1178000001,1030160.0
3442688,1815105.898817,1029968.0
3446784,1814868.7617290001,1029776.0
3450880,1815552.655027,1029584.0
3454976,1815315.463987,1029392.0
3459072,1815999.195429,1029200.0
3463168,1815761.950437,1029008.0
3467264,1816445.520023,1028816.0
3471360,1816208.221079,1028624.0
3475456,1816953.916803,1028432.0
3479552,1816716.560259,1028240.0
3483648,1817402.177362,1028048.0
3487744,1817164.766866,1027856.0
3491840,1817847.847236,1027664.0
3495936,1817610.382788,1027472.0
3500032,1818293.301302,1027280.0
3504128,1818055.782902,1027088.0
3508224,1818801.8252659999,1026896.0
3512320,1818564.249074,1026704.0
3516416,1819246.8400360001,1026512.0
3520512,1819009.209892,1026320.0
3524608,1819594.681223,1026128.0
3528704,1819357.003271,1025936.0
3532800,1820039.276665,1025744.0
3536896,1819801.544761,1025552.0
3540992,1820646.219361,1025360.0
3545088,1820408.423521,1025168.0
3549184,1821090.363219,1024976.0
3553280,1820852.513427,1024784.0
3557376,1821436.358054,1024592.0
3561472,1821198.460646,1024400.0
3565568,1821880.082968,1024208.0
3569664,1821642.131608,1024016.0
3573760,1822389.191217,1023824.0
3577856,1822151.1820649998,1023632.0
3581952,1822832.476835,1023440.0
3586048,1822594.413731,1023248.0
3590144,1823275.5466449999,1023056.0
3594240,1823037.429589,1022864.0
3598336,1823718.400647,1022672.0
3602432,1823480.229639,1022480.0
3606528,1824224.232387,1022288.0
3610624,1823986.003587,1022096.0
3614720,1824669.0219700001,1021904.0
3618816,1824430.739218,1021712.0
3622912,1825111.2208679998,1021520.0
3627008,1824872.884164,1021328.0
3631104,1825553.203958,1021136.0
3635200,1825314.813302,1020944.0
3639296,1826058.1340659999,1020752.0
3643392,1825819.685618,1020560.0
3647488,1826499.6778600002,1020368.0
3651584,1826261.17546,1020176.0
3655680,1826943.380723,1019984.0
3659776,1826704.8243709998,1019792.0
3663872,1827384.4929010002,1019600.0
3667968,1827145.882597,1019408.0
3672064,1827887.502161,1019216.0
3676160,1827648.834257,1019024.0
3680256,1828328.175427,1018832.0
3684352,1828089.453571,1018640.0
3688448,1828768.632885,1018448.0
3692544,1828529.857077,1018256.0
3696640,1829211.2494120002,1018064.0
3700736,1828972.419652,1017872.0
3704832,1829714.37664,1017680.0
3708928,1829475.489088,1017488.0
3713024,1830154.178994,1017296.0
3717120,1829915.23749,1017104.0
3721216,1830593.76554,1016912.0
3725312,1830354.770084,1016720.0
3729408,1831035.511155,1016528.0
3733504,1830796.461747,1016336.0
3737600,1831537.736751,1016144.0
3741696,1831298.629551,1015952.0
3745792,1831976.668193,1015760.0
3749888,1831737.5070409998,1015568.0
3753984,1832415.383827,1015376.0
3758080,1832176.168723,1015184.0
3762176,1832853.883653,1014992.0
3766272,1832614.6145970002,1014800.0
3770368,1833356.567886,1014608.0
3774464,1833117.24123,1014416.0
3778560,1833794.6288,1014224.0
3782656,1833555.248192,1014032.0
3786752,1834232.473906,1013840.0
3790848,1833993.039346,1013648.0
3794944,1834670.103204,1013456.0
3799040,1834430.614692,1013264.0
3803136,1835172.900797,1013072.0
3807232,1834933.354493,1012880.0
3811328,1835610.090799,1012688.0
3815424,1835370.490543,1012496.0
3819520,1836047.0649930001,1012304.0
3823616,1835807.4107849998,1012112.0
3827712,1836483.823379,1011920.0
3831808,1836244.115219,1011728.0
3835904,1836983.344463,1011536.0
3840000,1836743.5785110001,1011344.0
3844096,1837422.03843,1011152.0
3848192,1837182.2185260002,1010960.0
3852288,1837858.1417120001,1010768.0
3856384,1837618.267856,1010576.0
3860480,1838294.029186,1010384.0
3864576,1838054.1013779999,1010192.0
3868672,1838791.638638,1010000.0
3872768,1838551.65323,1009808.0
3876864,1839227.0872,1009616.0
3880960,1838987.0478400001,1009424.0
3885056,1839664.694831,1009232.0
3889152,1839424.601519,1009040.0
3893248,1840099.711777,1008848.0
3897344,1839859.564513,1008656.0
3901440,1840597.429981,1008464.0
3905536,1840357.224925,1008272.0
3909632,1841032.0076310001,1008080.0
3913728,1840791.748623,1007888.0
3917824,1841468.74435,1007696.0
3921920,1841228.43139,1007504.0
3926016,1841902.890384,1007312.0
3930112,1841662.523472,1007120.0
3934208,1842399.706956,1006928.0
3938304,1842159.2822520002,1006736.0
3942400,1842833.413694,1006544.0
3946496,1842592.935038,1006352.0
3950592,1843266.904624,1006160.0
3954688,1843026.372016,1005968.0
3958784,1843702.5546229999,1005776.0
3962880,1843461.9680630001,1005584.0
3966976,1844198.469563,1005392.0
3971072,1843957.8252110002,1005200.0
3975168,1844631.305389,1005008.0
3979264,1844390.607085,1004816.0
3983360,1845063.925407,1004624.0
3987456,1844823.173151,1004432.0
3991552,1845496.3296170002,1004240.0
3995648,1845255.5234090001,1004048.0
3999744,1845992.713946,1003856.0
4003840,1845751.850138,1003664.0
4007936,1846424.679244,1003472.0
4012032,1846183.761484,1003280.0
4016128,1846956.8336140001,1003168.0
4020224,1846916.671662,1003136.0
4024320,1847790.099216,1003104.0
4028416,1847749.928272,1003072.0
4032512,1848688.512313,1003040.0
4036608,1848648.331737,1003008.0
4040704,1849521.7046989999,1002976.0
4044800,1849481.515131,1002944.0
4048896,1850354.861117,1002912.0
4052992,1850314.662557,1002880.0
4057088,1851187.981567,1002848.0
4061184,1851147.7740149999,1002816.0
4065280,1852086.244392,1002784.0
4069376,1852046.027208,1002752.0
4073472,1852919.291626,1002720.0
4077568,1852879.06545,1002688.0
4081664,1853752.302892,1002656.0
4085760,1853712.0677240002,1002624.0
4089856,1854585.27819,1002592.0
4093952,1854545.03403,1002560.0
4098048,1855480.013338,1002528.0
4102144,1855439.7595779998,1002496.0
4106240,1856315.2903610002,1002464.0
4110336,1856275.027609,1002432.0
4114432,1857148.156539,1002400.0
4118528,1857107.884795,1002368.0
4122624,1857980.986749,1002336.0
4126720,1857940.7060129999,1002304.0
4130816,1858876.574217,1002272.0
4134912,1858836.283849,1002240.0
4139008,1859709.331211,1002208.0
4143104,1859669.031851,1002176.0
4147200,1860544.427114,1002144.0
4151296,1860504.118762,1002112.0
4155392,1861377.112172,1002080.0
4159488,1861336.794828,1002048.0
4163584,1862460.282515,1002016.0
4167680,1862419.953715,1001984.0
4171776,1863292.8907090002,1001952.0
4175872,1863252.552917,1001920.0
4179968,1864125.462935,1001888.0
4184064,1864085.116151,1001856.0
4188160,1866261.405779,1001824.0
4192256,1866221.037651,1001792.0
