byte,nJ,dram_acc
440320,1730084.1456895,1416941.0
444416,1726960.6252312,1412181.0
448512,1723962.387435,1407541.0
452608,1720826.5839068,1402781.0
456704,1670682.7927326001,1398149.0
460800,1666761.9596091001,1393381.0
464896,1663448.0786040002,1389181.0
468992,1659529.943777,1384421.0
473088,1655737.4709919,1379781.0
477184,1651812.8271732,1375021.0
481280,1648022.9027734,1370389.0
485376,1644083.4855371001,1365621.0
489472,1640287.3744845,1360989.0
493568,1636350.0542108999,1356229.0
497664,1632539.1461879,1351589.0
501760,1629061.0363612,1347261.0
505856,1625356.1171366,1342725.0
509952,1621639.1983134001,1338181.0
514048,1617928.2621543999,1333645.0
518144,1614231.4381709,1329125.0
522240,1610498.2329199999,1324613.0
526336,1606986.562628,1320157.0
530432,1603401.806194,1315749.0
534528,1599805.2507291,1311333.0
538624,1596681.1993055,1307357.0
542720,1593087.9410056002,1302949.0
546816,1589482.7449775,1298533.0
550912,1585883.5047539,1294125.0
555008,1582308.1357279,1289742.0
559104,1579064.3262956,1285668.0
563200,1575825.3880422,1281601.0
567296,1573018.6041597,1277936.0
571392,1570507.3537514,1274546.0
575488,1568493.2337914,1271617.0
579584,1563791.5716436,1268914.0
583680,1561898.3684907,1266208.0
587776,1561491.1290065,1263677.0
591872,1560093.8558588,1261315.0
595968,1559077.5405767001,1259383.0
600064,1559113.6787045,1258345.0
604160,1559037.5002218,1257252.0
608256,1558810.9188645,1255972.0
612352,1558530.1629301,1254692.0
616448,1558302.4788494,1253412.0
620544,1558020.037923,1252132.0
624640,1557789.9252725001,1250852.0
628736,1557505.7996101,1249572.0
632832,1557274.3466205,1248292.0
636928,1556988.5360941,1247012.0
641024,1556753.7096644,1245732.0
645120,1556467.5227412,1244452.0
649216,1556231.1128527,1243172.0
653312,1555943.2461855,1241892.0
657408,1555705.3656247,1240612.0
661504,1555415.8192135,1239332.0
665600,1555175.8691998,1238052.0
669696,1554884.6431726,1236772.0
673792,1554642.9853829,1235492.0
677888,1554350.0797397,1234212.0
681984,1554106.4766863,1232932.0
686080,1553812.1289148,1231652.0
690176,1553566.8180854,1230372.0
694272,1553428.1240323,1229236.0
698368,1553495.9173773,1228244.0
702464,1553513.208113,1227252.0
706560,1553581.2627025,1226260.0
710656,1553597.0162321,1225268.0
714752,1553629.9597741999,1224276.0
718848,1553644.7880831,1223284.0
722944,1553708.6293993,1222292.0
727040,1553722.0335782,1221300.0
731136,1553784.551368,1220308.0
735232,1553796.6538445,1219316.0
739328,1553857.8481079,1218324.0
743424,1553868.648882,1217332.0
747520,1554068.9202334,1216468.0
751616,1554429.3290877999,1215796.0
755712,1554839.4776965,1215124.0
759808,1555199.0047525,1214452.0
763904,1555608.2567788,1213780.0
768000,1555966.9020364,1213108.0
772096,1556375.2574803,1212436.0
776192,1556733.0209395,1211764.0
780288,1557140.6009102,1211092.0
